osm_id,name,surveillance_type,opening_hours,latitude,longitude,osm_type
way/1159096064,Jollibee,fast_food,24/7,14.63874015,121.00585595,way
way/1180156859,Jollibee,fast_food,24/7,14.63984452,121.01629332,way
way/1189937993,Jollibee,fast_food,24/7,14.700194283333333,121.06743846666666,way
way/1189940777,Jollibee,fast_food,24/7,14.632188339999999,120.98030123999999,way
way/1311907999,Jollibee,fast_food,24/7,14.6060412125,120.9815918875,way
way/1353978436,McDonald's,fast_food,24/7,14.565583039999998,120.98716970000001,way
way/1456277951,Krispy Kreme,fast_food,24/7,14.558313179999999,120.9843431,way
node/247895654,Jollibee,fast_food,24/7,14.5628115,120.9952943,node
node/255059058,Jollibee,fast_food,24/7,14.6302016,120.9958439,node
node/255061259,KFC,fast_food,24/7,14.6296916,120.9957025,node
node/255061540,Pancit Malabon,fast_food,24/7,14.6385053,121.0312961,node
node/255067248,McDonald's,fast_food,24/7,14.6313783,120.9990274,node
node/255067297,Wendy's,fast_food,24/7,14.5781169,120.9873754,node
node/255068430,Jollibee,fast_food,Mo-Su 05:30-23:00,14.6311033,121.0461421,node
node/255072177,Jollibee,fast_food,24/7,14.7062195,121.0699436,node
node/259421979,Jollibee,fast_food,06:00-23:00,14.6346562,121.0585925,node
node/281012387,KFC,fast_food,24/7,14.6404253,121.0742868,node
node/286083526,Jollibee,fast_food,24/7,14.639585,121.0306975,node
node/316548327,Jollibee,fast_food,24/7,14.6000835,120.9910083,node
node/330378076,Chowking,fast_food,24/7,14.5994656,120.9840487,node
node/365504763,Baliwag Lechon,fast_food,24/7,14.6241222,121.035369,node
node/501542285,Safe Spot,fast_food,24/7,14.6186181,120.9857092,node
node/505038064,Mang Inasal,fast_food,24/7,14.6312219,120.9987882,node
node/505063790,Burger Machine,fast_food,24/7,14.5834812,121.0019155,node
node/567945470,Yellow Cab,fast_food,24/7,14.608697,121.0803617,node
node/567945491,Popeyes,fast_food,24/7,14.6085966,121.080677,node
node/567945492,Dunkin',fast_food,24/7,14.6086737,121.0808782,node
node/585231040,Rose,fast_food,24/7,14.6099016,121.004339,node
node/589927625,McDonald's,fast_food,24/7,14.6225028,121.0517043,node
node/589927778,Emily's Place,fast_food,24/7,14.6245651,121.05194,node
node/590236752,RA Kambingan Ihaw-ihaw,fast_food,24/7,14.6247954,121.051834,node
node/590236755,Leo's Canteen,fast_food,24/7,14.6248976,121.0517584,node
node/591436101,Jollibee,fast_food,24/7,14.7011801,121.0350098,node
node/649997110,Mang Inasal,fast_food,24/7,14.5979938,120.9833345,node
node/649998560,Mang Inasal,fast_food,24/7,14.5982358,120.9832745,node
node/655184646,KFC,fast_food,24/7,14.5633321,120.9945009,node
node/678384000,Mushroom Burger,fast_food,24/7,14.6486774,121.0282329,node
node/735198878,Chowking,fast_food,24/7,14.5929258,120.9730558,node
node/735198892,Greenwich,fast_food,24/7,14.5929552,120.9731152,node
node/747151124,Jollibee,fast_food,"Mo-Fr 06:00-22:00, Sa 06:00-21:00, Su 07:00-21:00",14.6447166,121.0479865,node
node/760166767,Teresita's by Razon's,fast_food,24/7,14.6365536,121.0286591,node
node/760166835,Mang Inasal,fast_food,24/7,14.6363148,121.0277793,node
node/760167651,Chowking,fast_food,24/7,14.6372411,121.0462127,node
node/884248683,KFC,fast_food,24/7,14.582194,120.9837168,node
node/884248697,Jollibee,fast_food,24/7,14.58225,120.9838949,node
node/884248729,Gotobox,fast_food,24/7,14.5823639,120.9841603,node
node/950619317,BonChon Chicken,fast_food,24/7,14.6097123,121.0807051,node
node/950619328,Subway,fast_food,24/7,14.6096812,121.0788937,node
node/950619527,Dairy Queen,fast_food,24/7,14.6089115,121.080414,node
node/957123578,KFC,fast_food,24/7,14.6216593,121.0540488,node
node/957123584,Wendy's,fast_food,24/7,14.6201452,121.0548068,node
node/957223911,McDonald's,fast_food,24/7,14.6200553,121.0570631,node
node/962953309,McDonald's,fast_food,24/7,14.6280217,121.0633643,node
node/967510688,Pizza Hut,fast_food,24/7,14.6637605,121.0440038,node
node/1037130653,McDonald's,fast_food,24/7,14.5981103,120.9929476,node
node/1038058974,Safe Spot,fast_food,24/7,14.5796653,120.9738656,node
node/1038225289,Liezel's Place,fast_food,24/7,14.588142,120.9774217,node
node/1038225325,Sunlai Foodhouse,fast_food,24/7,14.5881576,120.9774017,node
node/1038283676,Pepito Foodhouse,fast_food,24/7,14.5904763,120.9771346,node
node/1039335801,Bacolod Chicken Inasal,fast_food,24/7,14.5821661,120.983648,node
node/1039380441,Jollibee,fast_food,24/7,14.5785358,120.979718,node
node/1039391505,Jollibee,fast_food,24/7,14.5776826,120.9815496,node
node/1040443773,Mang Inasal,fast_food,24/7,14.5783531,120.9797883,node
node/1040466518,Chowking,fast_food,24/7,14.5771543,120.9804771,node
node/1041008749,Karinderya ni Ramon,fast_food,24/7,14.5788902,120.9757249,node
node/1041263114,Mang Inasal,fast_food,24/7,14.5778098,120.9818094,node
node/1041297505,Burger Machine,fast_food,24/7,14.5778501,120.9799858,node
node/1041298855,Wendy's,fast_food,24/7,14.5788157,120.9794252,node
node/1041309542,Dunkin',fast_food,24/7,14.5777073,120.9876301,node
node/1041496021,McDonald's,fast_food,24/7,14.5814053,120.9807173,node
node/1044814346,J.Co,fast_food,24/7,14.5803706,120.9810286,node
node/1044893582,Angel's Pizza,fast_food,24/7,14.5801816,120.980222,node
node/1051599500,Chowking,fast_food,24/7,14.6305141,121.0456662,node
node/1056865810,Chowking,fast_food,24/7,14.5764339,120.9884421,node
node/1056904660,Jollibee,fast_food,24/7,14.5763138,120.9884774,node
node/1058992620,Subway,fast_food,24/7,14.5824627,120.9851654,node
node/1059290454,Mang Inasal,fast_food,24/7,14.7044379,121.0799052,node
node/1078000327,Army Navy,fast_food,24/7,14.635582,121.035367,node
node/1078000329,Banapple,fast_food,24/7,14.6362588,121.0353211,node
node/1078000330,Chowking,fast_food,24/7,14.6352142,121.0351478,node
node/1106522668,Wendy's,fast_food,24/7,14.6083805,121.0807836,node
node/1140662600,Tropical Hut,fast_food,24/7,14.6497768,121.0498684,node
node/1146571490,Mang Inasal,fast_food,24/7,14.6420721,121.0266434,node
node/1150426284,KFC,fast_food,24/7,14.6296507,121.0284317,node
